Etc/UTC,Open,High,Low,Close,Volume
2026-07-31T00:00:00+00:00,28295.086,28298.664,28284.119,28291.653,79420
2026-07-31T00:01:00+00:00,28291.376,28293.208,28270.998,28271.075,77880
2026-07-31T00:02:00+00:00,28270.531,28287.565,28270.143,28279.887,78540
2026-07-31T00:03:00+00:00,28279.964,28311.087,28279.565,28310.619,80960
2026-07-31T00:04:00+00:00,28311.289,28315.087,28304.008,28305.021,69520
2026-07-31T00:05:00+00:00,28304.665,28314.542,28298.608,28314.532,76340
2026-07-31T00:06:00+00:00,28314.665,28326.199,28303.209,28306.932,78540
2026-07-31T00:07:00+00:00,28306.165,28314.689,28299.898,28314.575,80740
2026-07-31T00:08:00+00:00,28314.497,28327.975,28310.497,28320.41,78760
2026-07-31T00:09:00+00:00,28319.91,28328.832,28314.41,28314.41,74800
2026-07-31T00:10:00+00:00,28314.175,28321.019,28305.343,28315.654,73480
2026-07-31T00:11:00+00:00,28315.465,28325.475,28313.443,28324.864,78540
2026-07-31T00:12:00+00:00,28323.875,28326.909,28316.209,28324.365,74360
2026-07-31T00:13:00+00:00,28324.508,28333.51,28322.564,28329.31,73480
2026-07-31T00:14:00+00:00,28329.586,28348.609,28329.586,28340.109,73040
2026-07-31T00:15:00+00:00,28340.364,28349.831,28339.021,28345.343,75460
2026-07-31T00:16:00+00:00,28345.408,28345.408,28322.365,28329.143,72820
2026-07-31T00:17:00+00:00,28329.098,28333.519,28321.886,28324.354,70180
2026-07-31T00:18:00+00:00,28323.186,28335.299,28320.51,28333.542,72160
2026-07-31T00:19:00+00:00,28333.032,28352.187,28332.597,28348.998,69960
2026-07-31T00:20:00+00:00,28349.054,28360.465,28345.621,28355.299,73040
2026-07-31T00:21:00+00:00,28354.564,28357.675,28330.897,28330.897,79420
2026-07-31T00:22:00+00:00,28329.954,28338.086,28326.564,28334.599,75900
2026-07-31T00:23:00+00:00,28335.021,28347.976,28333.832,28347.008,75240
2026-07-31T00:24:00+00:00,28347.086,28352.619,28338.642,28345.521,76780
2026-07-31T00:25:00+00:00,28345.875,28346.699,28338.954,28342.965,74800
